CPD-1106	C03557
5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-	C16155
CPD-11534	C20145
3-HYDROXY-2-METHYL-3-PHYTYL-23-DIHYDRONA	C02785
CPD-8485	C15608
CPD-12180	C17741
CARNOSINE	C00386
CPD0-2298	C02091
CPD-13714	C19894
L-DEHYDRO-ASCORBATE	C05422
CPD-4441	C15545
TTP	C00459
CPD-9233	C06887
CPD-16621	C21820
S-LACTOYL-GLUTATHIONE	C03451
DE-O-GLUCONATE	C02782
DOLICHOL	C00381
CPD-6974	C14161
CPD-7016	C18151
2-ACETO-2-HYDROXY-BUTYRATE	C06006
CPD-14154	C00397
CPD-12251	C15820
CPD-7119	C16417
CPD-11541	C19819
NONANE-46-DIONE	C02445
CPD-17102	C20900
K-HEXANOYL-COA	C05269
CPD-158	C02235
CPD-9542	C18930
CPD-9433	C19826
CPD-10826	C18312
CPD-15277	C20994
FE+3	C14819
CPD-20224	C21702
CPD-458	C01235
DETHIOBIOTIN	C01909
HEPTADECANE-CPD	C01816
CPD-17203	C20550
1-7-DIMETHYLXANTHINE	C13747
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	C04732
N-METHYLTRYPTOPHAN	C02983
D-GLUCURONOLACTONE	C06430
CPD0-2338	C20231
L-RIBULOSE-5-P	C01101
ETOH	C00469
CPD-9011	C19785
CPD-12111	C20414
CPD-17211	C06573
H2CO3	C01353
CPDQT-284	C08400
COPROPORPHYRIN_I	C05769
GLUCURONOXYLAN-4-O-METHYL-D-GLUCURONATE	C04459
MANNOSYL-ETCETERA-MANNOSYL-R	C04914
CPD-15153	C05814
CPD-8662	C08588
CPD-20436	C21658
CPD-15243	C16973
E-2-METHOXYCARBONYLMETHYLBUTENEDIOAT	C11515
23-DIHYDROGOSSYPETIN	C03052
CPD-12335	C07838
CPD-9981	C11636
NN-DIMETHYLANILINE-N-OXIDE	C01183
CPD-11647	C19669
CPD-371	C01545
CPD-7404	C14148
CPD-13614	C21402
CPD-8120	C03242
|Peptide-3-hydroxy-L-Aspartates|	C03957
GDP	C00035
CPD-472	C04268
RIBOSE-5P	C00117
CPD-863	C03448
CPD-8914	C21602
CPD-9210	C10820
CPD-803	C04103
CPD-12363	C07544
CPD-10050	C11395
CPD-16929	C20923
CPD-18836	C13629
DCTP	C00458
CPD-17287	C01633
S-24-DINITROPHENYLGLUTATHIONE	C11175
CPD-8814	C18014
CPD0-1615	C05672
L-HISTIDINOL-P	C01100
CPD-15529	C18639
RIBOSE-1P	C00620
|Pyruvate-dehydrogenase-dihydrolipoate|	C15973
CPD-8	C18802
CPD-862	C00808
CPD-8789	C09625
HOMO-CIT	C01251
CPD-8895	C15992
BENZOYL-ACETATE	C07114
CPD-19688	C08511
CPD-15412	C20603
CPD-9905	C18016
CPD-719	C15793
CPD-293	C03681
CPD-14213	C07656
33457-PENTAHYDROXY-8-METHOXYFLAVON	C04527
UDP-AAGM-DIAMINOHEPTANEDIOATE	C04877
CPD-15228	C20578
CPD-161	C02427
CPD-1101	C04845
XYLOSE	C01394
EPOXYOCTA-CPD	C04594
CPD-463	C05324
CPD-715	C15799
CPD-11447	C19795
3-DE-H-CARNITINE	C02636
UDP-SULFOQUINOVOSE	C11521
|N-Carbamoyl-D-Amino-Acids|	C05226
CPD-11782	C10200
|Pyruvate-dehydrogenase-acetylDHlipoyl|	C16255
CPD-14857	C10116
DIHYDRO-SPHINGOSINE	C00836
CPD-7409	C08591
CPD-8769	C19818
CPD-14216	C00908
CPD-125	C01056
CPD-12966	C11985
GLUTAMATE-1-SEMIALDEHYDE	C03741
CPD-6402	C19690
CPD-20500	C07524
ERYTHROSE	C01796
CARBON-DIOXIDE	C00175
CPD-7425	C05777
CPD-10475	C16001
57222428-ERGOSTATETRAENOL	C05440
NN-DIACETYLCHITOBIOSYLDIPHOSPHODOLICHO	C04537
RICININE	C01526
CPD-4442	C16449
TYRAMINE	C00483
CPD-266	C03594
D-MYO-INOSITOL-13-BISPHOSPHATE	C04062
CPD-13983	C01754
CPD-6959	C10287
ALPHA-D-MANNOSYLCHITOBIO	C05860
CPD-14544	C16710
CPD-14498	C20946
CPD-18328	C15720
CPD-9925	C15547
L-LACTATE	C00186
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	C06369
CPD-413	C03156
CPDQT-404	C17221
|Pyranosides|	C15594
|Cis-Prenyl-tRNAs|	C16467
CPD-8189	C02536
|R-3-Hydroxypalmitoyl-ACPs|	C04633
|tRNA-uridines|	C00868
5-METHOXYFURANOCOUMARIN	C01557
CPD-19274	C06628
D-SEDOHEPTULOSE-7-P	C05382
CPD-711	C15788
CPD-15499	C16493
CPD-7206	C19728
CPD-10495	C02685
MANNITOL	C00392
CPD-20252	C21710
PENTAHYDROXYCYCLOHEXANONE	C01295
CPD-8215	C10343
CPD-14082	C20381
PEPTIDAMIDE-CPD	C02179
CPD-1086	C04454
CPD-10780	C21198
COBALT-SIROHYDROCHLORIN	C11538
CATECHOL	C00090
CPD-14589	C08342
CPD-8528	C03303
CPD-19005	C21752
CPD-13947	C06635
CPD-10374	C15725
CPD-51	C03910
HYALURONATE	C00518
CPD-48	C03066
CPD-13888	C21304
CPD-7590	C21511
CPD-17011	C21568
8-AMINO-7-OXONONANOATE	C01092
CPD-533	C09811
META-XYLENE	C07208
CPD-4563	C05376
GAMA-TOCOPHEROL	C02483
NOREPINEPHRINE	C00547
ACENAPHTHENEQUINONE	C02807
PRENAL	C07330
FORMONONETIN	C00858
CPD-9834	C09285
CPD-14175	C17707
CPD-14197	C06820
CPD-274	C01249
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	C11472
D-SERINE	C00740
KDO	C01187
CPD-6602	C10443
CPD-9756	C17326
CPD-12175	C06001
CPD-14562	C20359
GUANIDINOETHYL-METHYL-PHOSPHATE	C04071
12-OXO-TRANS-10-DODECENOATE	C16309
CPD0-1348	C15687
3-HYDROXY-ANTHRANILATE	C00632
7-5-CARBOXYL-5-OXOPENTANYL-AMINOCEPHAL	C04712
CPD66-65	C18179
CPD-8716	C18220
N-METHYLPHENYLETHANOLAMINE	C03711
D-FUCONATE	C01680
|Dihydrocarvones|	C18018
TOLUENECISDHDIOL	C04592
NH4CL	C12538
PREPHENATE	C00254
CPD-12358	C06068
|7-methoxyisoflavones|	C15616
CPD0-1232	C20339
CPD-7248	C15494
CPD-9913	C16146
ISOPHENOXAZINE	C02161
CPD-13851	C19969
METHYL-BETA-D-GALACTOSIDE	C03619
CPD-7714	C12096
CPD-468	C00956
CPD-15518	C01517
CPD-712	C15798
XANTHINE-8-CARBOXYLATE	C03314
CPD-14736	C01718
ADENOSYL-HOMO-CYS	C00021
ORSELDEP-CPD	C02868
LINOLENIC_ACID	C06427
PHENYLACETATE	C15583
CPD1F-133	C08614
CPD-154	C03792
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	C17243
STREPTIDINE-6-PHOSPHATE	C01121
CPD-631	C03354
CPD-18844	C21429
HYDROXY-METHYL-BUTENYL-DIP	C11811
NITROUS-OXIDE	C00887
N-ACETYLNEURAMINYL-ETCETERA-GLUCOSYLCERA	C04927
CPD-9064	C18154
CPD-12258	C06432
CPD-8664	C19869
L-2-HYDROXYPHYTANATE	C02982
CPD-9924	C16519
CPD-363	C03064
CPD-11756	C19700
PHOSPHO-ENOL-PYRUVATE	C00074
CPD-540	C03947
CPD-13503	C10041
CPD-13617	C19939
CPD-9465	C06452
CPD-10358	C12127
DIIODO-HYDROXYPHENYL-LACTATE	C04367
|Alpha-lactose|	C00243
GALACTOSE-1P	C00446
CPD-12798	C21420
CPD-8907	C10646
CPD-20463	C21782
CPD-374	C00835
6-OXOCYCLOHEX-1-ENE-1-CARBONYL-COA	C09821
CPD-15178	C01015
ANTHRANILATE	C00108
19-HYDROXYTESTOSTERONE	C05294
GLUCURONOXYLAN-D-GLUCURONATE	C03866
CPD-15644	C20774
124-TCB	C06594
CPD-9378	C18759
2-OXOSUCCINAMATE	C02362
HSO3	C11481
CPD-529	C01138
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	C04823
O-14-ALPHA-L-DIHYDROSTREPTOSYL-STREPTID	C04767
|1-4-beta-Xylan|	C02352
TRANS-CYCLOHEXANE-12-DIOL	C03739
INDOLE_PYRUVATE	C00331
CPD-8485	C10043
DITP	C01345
CPD-7262	C16259
CPD-20752	C20919
GENTAMICIN-C	C01918
CPD-882	C00899
CPD-730	C04780
CPD-73	C00845
FRUCTOSE-2-PHOSPHATE	C03267
DEHYDFUC-CPD	C03827
CPD66-56	C06315
CPD-18934	C21288
7-O-BETA-D-APIOFURANOSYL-12-BETA-D-GLU	C04858
CPD-8579	C03702
BILIVERDINE	C00500
CPD-15746	C12321
HIS	C00135
CPD-16998	C09321
BLASTICIDIN-S	C02010
CPD-627	C01011
CPD-248	C03574
CPD-14963	C18063
CPD-12543	C07836
A-GALACTOSYLCERAMIDE	C02686
CPD-171	C03862
CPD-360	C02266
GLUCOSAMINE-1P	C06156
CPD-15441	C08945
CPD-19256	C06973
CPD-13323	C21138
NEUROSPORENE	C05431
6-AMINOPENICILLANATE	C02954
4-OH-4-ACETYL-2-OXOGLUTARATE	C04115
CPD-14178	C18004
|ALA-tRNAs|	C01635
CPD-10052	C11408
6-SULFO-ALPHA-ETCETERA-ACYLGLYCEROL	C04920
CPD-14137	C01441
D-GALACTONO-1-4-LACTONE	C03383
CPD-13620	C20403
CPD-8765	C09839
CARBON-MONOXIDE	C00237
CPD-9122	C17403
CPD-15734	C12432
|D-Glc-NAc--Glycoproteins|	C04502
CPD-4081	C15776
1-O-SINAPOYL-BETA-D-GLUCOSE	C01175
TDP-D-FUCOSAMINE	C04346
CPD-18054	C19243
CPD-244	C02116
CPD-18306	C16199
DEOXYGUANOSINE	C00330
CPD1F-126	C05435
CPD-14125	C01743
CPD-209	C05892
GLYCOCHENODEOXYCHOLIC_ACID	C05466
CPD-4162	C05442
CPD-1134	C00684
CPD-15482	C10033
CPD-18261	C12102
CPD-113	C15986
CPD-9049	C05773
ERGOSTA-ETCETERA-BETA-DIOL	C04416
CPD-407	C03738
CPD-446	C03003
CPD-11572	C11101
CH33ADO	C05198
CPD-17597	C21191
CPD-8755	C20244
12-BIS34-DIMETHOXYPHENYLPROPANE-13-	C04597
LINOLEIC_ACID	C01595
CPD-19823	C21496
CPD-17	c06719
|Heme-b|	C00032
TAURINE	C00245
CPD-12719	C19786
ARSENATE	C01478
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	C11830
VIOLACEIN	C21136
D-ARABINOSE	C00216
CPD-242	C03663
CPD-302	C00402
CPD-13285	C19835
MEVALONATE	C00418
1-ALKENYL-2-ACYLGLYCEROL	C03454
UDP-MANNAC	C01170
CPD-10433	C07403
PHLORETATE	C01744
CPD-9366	C16225
|ASP-tRNAs|	C01638
CPD-17070	C21284
CPD-9593	C10839
3-HEXAPRENYL-45-DIHYDROXYBENZOATE	C05200
CPD1A0-6123	C06691
CPD-7993	C10974
CPD-12856	C19799
CPD-18540	C15727
COPROPORPHYRIN_III	C05770
CPD-14702	C05502
CPD-17689	C18212
|Long-Chain-Aldehydes|	C00609
DGDP	C00361
OLEOYL-COA	C00510
CPD0-1692	C10955
L-SORBOSONE	C19679
CPD-7386	C16298
L-ASPARTATE-SEMIALDEHYDE	C00441
CPD-175	C01191
2H6OH2-4DIENOATE	C06210
UBIQUINONE-9	C01967
CPD-10640	C07090
SALUTARIDINOL	C05220
CPD-9961	C17955
A-PYRIMIDODIAZEPINE	C02587
DIMP	C06196
CPD-15586	C20589
TRYPTAMINE	C00398
CPD-8809	C20159
OH-PYR	C00168
N-TETRADECANOYLGLYCYL-PEPTIDE	C03881
CPD-7100	C04236
PROSTAGLANDIN-H2	C00427
ALPHA-CYCLOPIAZONATE	C03032
|LDL-receptor-L-serine|	C04128
CPD-16766	C07609
D-GALACTURONATE	C00333
CPD-19067	C20839
CPD-19754	C21559
CPD-714	C15790
CPD-7221	C02944
S-3-HYDROXYBUTANOYL-COA	C01144
CPD-15031	C20486
AMMONIUM	C01342
EPISTEROL	C15777
CPD-862	C18369
CPD0-2608	C06827
BERBAMUNINE	C05177
ISOCHORISMATE	C00885
HYDRAZINE	C05361
CPD-476	C01252
CPD-14560	C20395
AMINOHYDROQUINONE	C14604
2-KETO-GLUTARAMATE	C00940
CPD-7051	C07168
2-HYDROXY-23-DIHYDRODAIDZEIN	C03567
CPD-15795	C18633
CPD-6227	C11853
CPD-17659	C21092
CPD-14170	C14385
CPD-13116	C07497
CPD-14812	C21566
LATHYRINE	C08290
BILIRUBIN	C00486
CPD-716	C15791
|Oxidized-ferredoxins|	C00139
OLEANDOMYCIN	C01946
CPD-10678	C08926
CPD-10680	C18013
1235-TETRAHYDROXYBENZENE	C03743
UDP-OHMYR-GLUCOSAMINE	C06022
THIAMINE-P	C01081
L-ARABITOL	C00532
CPD-10164	C20500
CPD-16508	C12323
ALPHA-ANDROSTAN-3BETA17BETA-DIOL	C12525
CPD-14389	C10847
CPD-10530	C07538
CPD-9322	C10292
CPD-8054	C06152
CPD-7870	C16304
THIDIAZURON	C18812
CPD-13383	C18033
CPD-174	C03300
CPD-18504	C19952
CPD-12294	C06683
UDP-N-ACETYL-D-GALACTOSAMINE-4-SULFATE	C04426
|Alkanes|	C01371
CPD-9415	C17351
CPD0-1583	C07391
12-DEHYDROTETRACYCLINE	C03206
CPD-19531	C10105
CPD-14304	C20320
CPD-16542	C12643
CPD-1943	C06318
CPD-13909	C18871
CPD-13877	C17966
|L-glutamyl-tRNAGln|	C06112
CPD-15329	C06843
CPD-15083	C10114
CPD-14319	C21134
CPD-16449	C20892
CPD-12762	C19729
CPD-19429	C08527
CPD-13824	C18847
PRPP	C00119
CPD-20753	C20917
CPD-6948	C08616
CPD-4661	C09627
SINAPALDEHYDE	C05610
CPD-19390	C07931
CPD-251	C11855
CPD-7403	C14147
CPD-20075	C21660
CPD-7858	C07201
CPD-311	C02207
CPD-16426	C20766
CPD-13704	C20144
CPD-8985	C16015
GLYCOGENIN	C01702
CARBOXYMETHYL-HYDROXYPHENYLPROPCOA	C09819
CPD-13657	C20201
CPD-17560	C21159
CPD-1088	C01088
3-HYDROXY-PROPIONATE	C01013
CPD-654	C00433
CPD-19891	C21683
2-CL-MUCONATE	C03572
|N3-Acetal-deoxystreptamine-antib|	C04504
GLYCOSYL-N-ACYLSPHINGOSINE	C03701
RIFAMYCIN-O	C01849
CPD-692	C13455
GLYOX	C00048
CPD-245	C01163
CPD-7965	C08641
CPD-19180	C08434
CPD-13834	C11998
4-P-PANTOTHENATE	C03492
CPD-14930	C12633
STRICTOSIDINE	C03470
CPD-17302	C16279
BILIRUBIN-BISGLUCURONOSIDE	C05787
NADPH	C00005
CPD-1142	C01451
N-ACYL-D-ASPARTATE	C06380
CPD-17461	C21088
1-KETO-2-METHYLVALERATE	C06007
CPD-8652	C05604
CPD-961	C03955
DEOXYINOSINE	C05512
CPD-16810	C20845
CPD-17196	C20543
SER	C00065
FRUCTOSELYSINE-6-PHOSPHATE	C16489
L-FUCULOSE	C01721
CPD-4123	C16224
CPD-7556	C20307
CPD-1118	C01572
|Gamma-Glutamylated-Glutamyl-acceptors|	C03649
CPD-14456	C09894
SPERMIDINE	C00315
CPD-8987	C15612
CPD-20251	C21709
CPD-20603	C09269
DOPAMINE	C03758
|Charged-GLT-tRNAs|	C02987
CPD1F-453	C12249
CPD-18491	C16172
|Core-Protein-L-Ser-Xyl|	C02399
CPD-11424	C19816
CPD-12611	C15874
L-RHAMNONATE	C01934
VIGABATRIN	C07500
2-AMINO-47-DIHYDROXYPTERIDINE	C03975
CPD-13031	C19714
CPD-13852	C19970
CPD0-2114	C06227
CPD-15448	C20780
CPD-17770	C10219
XTP	C00700
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE	C11516
CPD-10895	C07101
HYDROQUINONE	C00530
PIPERIDINE	C01746
CPD-10898	C07102
|CRPB-all-trans-Retinol|	C04571
|Alkyl-acyl-gly-P-EtOH-amines|	C04475
VITAMIN_D2	C05441
D-XYLONO-14-LACTONE	C02753
CPD-12479	C07130
CPD-7871	C08381
GUANINE	C00242
16-17-DIDEHYDROPROGESTERONE	C03207
25-DICHLOROPHENOL	C06602
CPD-9612	C20624
5-L-GLUTAMYL-L-AMINO-ACID	C03740
CPD-7558	C20325
CPD-16855	C11546
SCOPOLAMINE	C01851
S-4-BROMOPHENYL-L-CYSTEINE	C03900
CPD-11241	C06118
|Kanamycin-3-phosphates|	C03281
GLYCOCHOLIC_ACID	C01921
SIROHYDROCHLORIN	C05778
CPD-14523	C21118
CPD-2482	C08057
CPD-2205	C04350
CPD-14205	C18323
CPD-19762	C18933
CPD-206	C02060
CPD-10782	C11841
CPD-1826	C02691
CPD-9674	C11149
CPD-18912	C16485
|N6-Alkylaminopurine|	C02860
CPD-14461	C09264
CPD-12932	C15867
DIHYDROXY-BUTANONE-P	C15556
S-ACYLGLUTATHIONE	C02589
5-OH-2-4-DIOXOPENTANOATE	C05406
CPD-4885	C05230
CPD-13547	C20955
CPD-12287	C13645
CPD-8695	C11879
|--beta-santalene|	C09718
CPD-19012	C21389
3-HYDROXY-4H-PYRID-4-ONE	C03927
ARISTOLOCHENE	C02004
CPD-19013	C21290
RETINAL	C00376
S-SCOULERINE	C02106
5-HYDROXYPENTANOATE	C02804
GALACTITOL	C01697
S-CHEILANTHIFOLINE	C05174
CPD-9112	C18627
TRI-N-ACETYL-BETA-D-GLUCOSAMINYL	C04946
CPD-11442	C09622
CPD-18945	C21712
|23-Diaminopropanoate|	C06393
CPD-385	C02351
CPD-13996	C20260
N-ACETYL-D-GLUCOSAMINE	C03878
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P	C11526
NH4OH	C01358
CD+2	C01413
CINNAMOYL-COA	C16256
CPD-548	C01031
CPD-7145	C16315
CPD-7838	C19623
4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE	C04471
QUERCETIN-33-BISSULFATE	C01155
CPD-6441	C20645
N-CARBAMYL-L-GLUTAMATE	C05829
10-DEOXYSARPAGINE	C11635
CPD-15447	C20716
ALPHA-RIBAZOLE-5-P	C04778
N1-ACETYLSPERMINE	C02567
D-GLUTAMYL-PEPTIDE	C02671
CPD0-1083	c15930
CPD-8908	C20454
CPD-87	C04484
CPD-10069	C11418
CPD-625	C04316
CPD-7554	C16028
N-ACYL-D-AMINO-ACID	C06378
BETA-D-XYLOSE	C02096
CPD-9459	C17148
CPD-7286	C15520
CPD-4127	C08821
3-OXODODECANOATE	C02367
CPD-8905	C05366
2-NITROTOLUENE	C19597
|Oxidized-Polyvinyl-Alcohol|	C01166
CPD-10242	C14721
CPD0-954	C02617
CPD-7277	C06361
CPD-10158	C16286
E-37-DIMETHYLOCTA-16-DIEN-38-DIOL	C04433
CPD-3633	C01905
CPD-358	C00937
CPD-10027	C11396
PROPANE-1-2-DIOL	C02917
CPD-14976	C17140
CPD-9367	C10526
CPD-8659	C08557
PPI	C00013
CPD-9225	C06923
|ASN-tRNAs|	C01637
CPD-1117	C00545
--bornyl-diphosphate	C20664
CPD-16005	C20745
CPD-17371	C21006
CPD-13762	C14831
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	C01222
CPD-14795	C00203
CPD-15469	C08907
|Sterols|	C00370
CPD-2221	C04351
ETHYL-3-OXOHEXANOATE	C02975
CPD-470	C03283
|Heparan-sulfate-D-glucuronate|	C04196
CPD-19424	C21639
QUINOLIN-2-OL	C06338
CPD-15936	C12366
CPD-8063	C05163
CPD-9786	C16712
CPD-14115	C14131
5-HYDROXYTHIOPHENE-2-CARBONYL-COA	C07348
THIAMINE	C00378
CPD-9522	C21442
3-HYDROXY-L-PROLINE	C19706
INDOLE-3-CARBOXALDEHYDE	C08493
ACROLEIN	C01471
D-1-GUANIDINO-3-AMINO-13-DIDEOXY-SCYLLO	C01298
CPD-13810	C13173
2-O-ALPHA-MANNOSYL-D-GLYCERATE	C11544
CPD-9777	C12448
|Long-Chain-Fatty-Acids|	C00638
AEROBACTIN	C05554
ISOBUTANOATE-P	C03754
CPD-7059	C09793
CPD-1066	C05161
CPD-505	C04477
CPD0-2390	C12505
CH3-MALONATE-S-ALD	C06002
CPD-4824	C20614
--6-HYDROXY-3-OXO-ALPHA-IONOL	C01760
CPD-12024	C05689
CPD-14394	C16164
DIHYDROLIPOAMIDE	C00579
CPD-7243	C05460
CPD-10376	C11689
CPD-7287	C15610
4-OXOCYCLOHEXANECARBOXYLATE	C03767
TAUROLITHOCHOLATE-SULFATE	C03642
CPD-8758	C19742
ALPHA-N-ACETYLNEURAMINYL-23-BETA-ETCETER	C04907
CPD-2841	C19935
CHALCONE-CMPD	C01484
CPD-13144	C15689
CPD-783	C04642
VIOMYCIN-P	C02574
CPD-20324	C21828
|Arylalkylamines|	C01890
CPD-7384	C16368
4-AMINO-4-DEOXY-L-ARABINOSE	C20931
CPD-17175	C21514
BIPHENYL	C06588
|Charged-LYS-tRNAs|	C01931
CPD-9169	C16235
CPD-8776	C09630
TRIMETHYLSULFONIUM	C01008
CPD-15409	C20608
CPD-12163	C10417
ITP	C00081
CPD-12789	C19773
3-OXOPRISTANOYL-COA	C07297
CPD-4161	C08813
TRIMETHYLAMINE	C00565
CPD-20026	C21808
CPD-11268	C03413
CPD0-1414	C06570
CPD-688	C06503
|NAcMur-Peptide-NAcGlc-Undecaprenols|	C06226
DIHYDROXYPHENYLGLYCOLALDEHYDE	C05577
CPD-6997	C16233
CPD-124	C15987
CPD-15954	C01723
PORPHOBILINOGEN	C00931
CPD-5202	C08794
CPD-595	C03047
CPD-9104	C11851
N6-ACETYLKANAMYCIN-B	C03154
DIALKYLKETONE-CPD	C02146
CPD-12071	C12216
CPD-8738	C19749
5-34-DIACETOXYBUT-1-YNYL-22-BITHIOP	C04606
CPD-19339	C20956
CPD-10334	C05306
HYDROQUINONE	C15603
CPD-10060	C19084
PROTEIN-L-CITRULLINE	C03022
CPD-6881	C06356
PHENYLETHANOLAMINE	C02735
CPD-9851	C16735
DEOXY-HYDROXYMETHYLCYTIDINE-PHOSPHATE	C03997
CPD-20270	C21824
NICOTINAMIDE_RIBOSE	C03150
|L-1-phosphatidyl-inositols|	C01194
CPD-9669	C17700
NA2SO4	C13199
OH-MYRISTOYL	C04652
CPD-454	C03848
S-HYDROXYMETHYLGLUTATHIONE	C14180
4-HYDROXYPHENYLACETYL-COA	C05338
|Aryl-Alcohol|	C15584
CPD-13926	C20153
CPD-12462	C08242
ANHYDROTETRACYCLINE	C02811
PYRIDOXAMINE	C00534
CPD-19432	C16703
CPD-807	C06558
CPD-12040	C20368
CPD-514	C07118
N3-OXALYL-L-23-DIAMINOPROPANOATE	C04209
CPD-15008	C20742
CPD-8705	C11883
CPD-15643	C20768
CPD-1005	C06579
CPD0-2480	C20423
1516-DIHYDROBILIVERDIN	C11630
CHLOROACETALDEHYDE	C06754
TREHALOSE	C01083
QUININE	C06526
CPD-10681	C18014
CPD-20225	C21705
CPD-15326	C20327
CPD-13419	C01498
CPD-14102	C20441
CPD-18845	C21434
L-ALLO-THREONINE	C05519
CPD0-2336	C14701
VICIANOSE	C01625
CPD-70	C04260
DESMETHYLSULOCHRIN	C15504
CPD-15486	C10046
CHLOROPHYLL-A	C05306
CPD-10556	C05337
GALACTOSE	C00962
|Histone-L-lysine|	C02415
CPD-7101	C02892
CPD-10115	C21093
CPD-14683	C11919
CPD-19211	C17353
CPD-18091	C20489
INOSITOL-1-3-4-TRIPHOSPHATE	C01243
CPD-19532	C09241
CPD-10279	C16528
CPD-16013	C20905
CPD-11422	C20229
CPD-18290	C21166
CPD-1828	C00976
CPD-14196	C17584
DIHYDROCLAVAMINATE	C06659
CPD-11946	C08193
CPD-723	C15802
CPD-13047	C08626
DTDP-D-GALACTOSE	C02097
Me-CoM	C03920
CPD-13783	C19947
MEVALDATE	C00772
CPD-609	C01261
CPD-19542	C07512
VINYL-CHLORIDE	C06793
CPD-9461	C08984
CPD-13782	C11933
CPD-10114	C19814
D-XYLONATE	C00502
CPD-14974	C11580
CPD-827	C06892
20S22S25S-2225-EPOXYFUROST-ETC-GLUCOSIDE	C04859
3-OXOADIPATE-ENOL-LACTONE	C03586
CPD-15302	C20132
FORSSMAN-HAPTEN	C04925
CPD-17100	C20899
CPD-8787	C20173
CPD-8694	C06087
PROTAMINE	C01609
2-ARYL-2-METHYLMALONATE	C06388
CPD1F-766	C08604
CPD-16931	C20924
CPD-3261	C20871
S-TETRAHYDROBERBERINE	C03329
CPD-6366	C04720
UDP-MURNAC-TETRAPEPTIDE	C04804
CPD-16535	C20490
CPD-10323	C15761
67-DIHYDROPTERIDINE	C05649
CYCLOHEXA-15-DIENE-1-CARBONYL-COA	C06322
CPD-15808	C18630
CPD-15254	C20509
CPD-14474	C20487
2-METHYL-ACETO-ACETYL-COA	C03344
CPD-13497	C09720
CPD-648	C03742
|Ribuloses|	C05052
MAL	C00149
CPD-13786	C19974
10-DEACETYL-2-DEBENZOYLBACCATIN-III	C11899
CPD-685	C02344
N-ACETYLANTHRANILATE	C06332
CPD-11678	C06767
N-ACETYLINDOXYL	C02298
PHENYLETHYLAMINE	C05332
CPD-1081	C03238
CPD-1112	C00847
|Alkyl-Thiols|	C00812
FERRIC-CITRATE-COMPLEX	C06229
|Polyisoprenyl-Monophosphates|	C01048
CPD-16685	C12380
CPD-19232	C08371
CPD-7149	C12642
CPD-193	C04064
CPD-10366	C15713
SCOPOLIN	C01527
CPD-582	C19871
CPD-9951	C16719
4-HYDROXY-BUTYRATE	C00989
CPD-13823	C15682
CPD-16610	C21560
10-OXODECANOATE	C02217
CPD-12871	C20154
CPD-1067	C01186
4-METHYLPENTANAL	C02373
CPD-10699	C01201
CPD-10823	C04559
CPD-12083	C15850
ALPHA-N-ACETYLNEURAMINYL-ETCETERA	C04885
L-DELTA1-PYRROLINE_5-CARBOXYLATE	C03912
N5-ACYL-L-ORNITHINE-ESTER	C03625
UBIQUINONE-6	C17568
CPD-15971	C01970
DIHYDROXYACETONE	C00184
DUDP	C01346
CPD-496	C02895
|Hpr-pi-phospho-L-histidines|	C04261
CPD-400	C15572
L-THREONINE-O-3-PHOSPHATE	C12147
CPD-16006	C20744
6-CARBOXYHEX-2-ENOYL-COA	C06723
CPD-9377	C06669
1-PALMITOYLGLYCEROL-3-PHOSPHATE	C04036
FADH2	C01352
TRICHLOROANISOLE	C11510
4-METHYLBENZYL-ALCOHOL	C06757
CPD-9041	C11540
VANILLYL-ALCOHOL	C06317
CPD-6224	C11868
CPD-11449	C15919
CPD-14013	C16777
CPD-843	C13827
CPD-8246	C19751
CPD-11755	C19699
CPD-13820	C15681
N-ACETYLNEURAMINATE	C00270
CPD-599	C03139
CPD-3607	D09924
CPD-19496	C08425
1235-TETRAHYDROXYBENZENE	c03743
CPD-10413	C12128
CPD-10457	C16392
CPD-9168	C16234
CPD-7713	C06175
CPD-20636	C20129
TRIACETATE	C01757
CPD-195	C06423
GAMMA-GLUTAMYL-PUTRESCINE	C15699
CPD0-1189	C16157
CPD-1905	C00553
CPD-12165	C10535
HCO3	C00288
CPD-9406	C18026
CPD-12172	C10532
GLYCEROL	C00116
DIIODO-4-HYDROXYPHENYLPYRUVATE	C01244
DIHYDROXYPIRIDIN-CPD	C02932
CPD-6443	D01138
|beta-Gal-14-beta-Glc-R|	C04247
DIHYDROXYPENTANEDIONE	C11838
CPD-565	C01215
CPD-6993	C16404
CPD-12658	C16071
CPD-2204	C04621
ETHYLACETATE	C00849
|D-Fucoses|	C01018
CPD-6971	C14162
CPD-10369	C15691
UBIQUINONE-10	C11378
CPD-13324	C20773
HEPARIN-GLUCOSAMINE-3-O-SULFATE	C04072
